City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Vaini,-21.2,-175.2,75.36,88,90,8.05,TO,1633288925
New Norfolk,-42.7826,147.0587,53.74,82,49,1.28,AU,1633288925
Kapaa,22.0752,-159.319,80.58,83,90,3.0,US,1633288926
Busselton,-33.65,115.3333,41.09,67,87,3.58,AU,1633288927
Touros,-5.1989,-35.4608,85.1,65,15,17.25,BR,1633288927
Tazovsky,67.4667,78.7,33.4,84,100,8.59,RU,1633288927
Bredasdorp,-34.5322,20.0403,50.29,87,13,3.44,ZA,1633288928
General Roca,-39.0333,-67.5833,64.8,17,0,16.11,AR,1633288928
Kapuskasing,49.4169,-82.4331,62.6,59,40,5.75,CA,1633288669
Atuona,-9.8,-139.0333,77.56,74,15,17.78,PF,1633288929
Asău,46.4333,26.4,50.76,87,0,2.06,RO,1633288929
Kendari,-3.945,122.4989,73.6,95,100,3.4,ID,1633288930
Quang Ngai,15.1167,108.8,75.51,90,100,4.9,VN,1633288930
Ushuaia,-54.8,-68.3,46.06,76,75,27.63,AR,1633288931
Mataura,-46.1927,168.8643,44.47,90,100,7.27,NZ,1633288632
Rio Grande,-32.035,-52.0986,66.31,77,100,18.19,BR,1633288931
Ribeira Grande,38.5167,-28.7,73.8,83,40,11.5,PT,1633288932
Tiznit Province,29.5833,-9.5,63.77,72,100,4.72,MA,1633288932
Mogadishu,2.0371,45.3438,78.46,86,6,16.78,SO,1633288932
Ust'-Kut,56.7938,105.7672,34.68,88,100,1.7,RU,1633288740
Gairatganj,23.4202,78.2385,76.32,85,37,3.8,IN,1633288933
Dryden,49.7833,-92.7503,59.29,72,40,0.0,CA,1633288934
Batticaloa,7.7102,81.6924,80.04,82,100,4.27,LK,1633288934
Rørvik,64.8621,11.2373,59.11,72,75,18.41,NO,1633288934
Jamestown,42.097,-79.2353,68.02,71,90,7.0,US,1633288856
Washington,47.5001,-120.5015,70.29,40,0,4.03,US,1633288811
Qaanaaq,77.484,-69.3632,31.69,98,100,7.43,GL,1633288935
Punta Arenas,-53.15,-70.9167,44.71,70,75,32.21,CL,1633288936
Broken Hill,-31.95,141.4333,50.22,61,0,10.67,AU,1633288756
Saint-Pierre,-21.3393,55.4781,73.08,68,90,2.3,RE,1633288936
Sīrjān,29.452,55.6814,70.5,22,50,7.7,IR,1633288937
Bambous Virieux,-20.3428,57.7575,73.22,88,75,11.5,MU,1633288937
Santa Rosa,14.3122,121.1114,79.92,86,100,4.9,PH,1633288938
Dikson,73.5069,80.5464,34.79,98,100,23.38,RU,1633288938
Hermanus,-34.4187,19.2345,54.9,71,37,7.11,ZA,1633288939
George Town,5.4112,100.3354,81.9,87,20,0.0,MY,1633288939
Airai,-8.9266,125.4092,59.22,71,12,1.16,TL,1633288940
Kaitangata,-46.2817,169.8464,49.93,82,100,13.67,NZ,1633288940
Aswān,24.0934,32.907,82.08,29,2,14.45,EG,1633288941
Kununurra,-15.7667,128.7333,75.18,83,68,5.75,AU,1633288932
Batangafo,7.3008,18.2833,72.0,92,15,3.87,CF,1633288941
Cherskiy,68.75,161.3,17.42,97,96,3.53,RU,1633288942
Champerico,14.3,-91.9167,88.36,74,23,7.02,GT,1633288942
Teacapan,22.55,-105.75,87.31,63,100,7.65,MX,1633288943
Kangaatsiaq,68.3065,-53.4641,32.49,66,99,8.1,GL,1633288943
Yellowknife,62.456,-114.3525,52.41,48,20,1.01,CA,1633288944
East London,-33.0153,27.9116,59.22,67,44,5.35,ZA,1633288944
Faya,18.3851,42.4509,64.51,42,100,0.87,SA,1633288945
Kavaratti,10.5669,72.642,81.63,79,100,10.67,IN,1633288700
Upata,8.0086,-62.3989,86.2,71,96,5.66,VE,1633288946
Port Alfred,-33.5906,26.891,56.8,73,48,7.9,ZA,1633288947
Te Anau,-45.4167,167.7167,45.18,98,100,3.4,NZ,1633288947
Barrow,71.2906,-156.7887,30.22,80,90,11.5,US,1633288948
Torbay,47.6666,-52.7314,59.29,84,75,5.75,CA,1633288948
Cabo San Lucas,22.8909,-109.9124,92.61,65,20,9.22,MX,1633288802
Āstāneh-ye Ashrafīyeh,37.2596,49.9444,61.11,91,70,4.97,IR,1633288949
Pisco,-13.7,-76.2167,68.05,64,0,18.41,PE,1633288949
Hobart,-42.8794,147.3294,54.1,92,75,0.0,AU,1633288923
Kosonsoy,41.2561,71.5508,50.56,76,44,4.43,UZ,1633288950
Ilulissat,69.2167,-51.1,30.22,59,100,3.44,GL,1633288951
Rikitea,-23.1203,-134.9692,73.4,64,100,17.65,PF,1633288951
Estelle,29.8458,-90.1067,89.01,75,75,9.22,US,1633288951
Kunszentmárton,46.8392,20.2888,62.13,59,1,9.15,HU,1633288952
Lüderitz,-26.6481,15.1594,60.31,50,78,25.55,NA,1633288952
Águilas,37.4063,-1.5829,76.33,56,95,7.52,ES,1633288953
Grand Gaube,-20.0064,57.6608,73.38,72,4,8.01,MU,1633288953
Pitimbu,-7.4706,-34.8086,82.99,71,6,12.5,BR,1633288659
Kavieng,-2.5744,150.7967,80.92,74,100,2.73,PG,1633288954
Auki,-8.7676,160.7034,76.28,88,19,3.18,SB,1633288954
Ponta do Sol,32.6667,-17.1,77.0,76,100,3.74,PT,1633288955
Juneau,58.3019,-134.4197,41.22,93,90,6.91,US,1633288955
Tarrafal,15.2833,-23.7667,81.14,77,84,10.54,CV,1633288956
Mar del Plata,-38.0023,-57.5575,55.99,50,0,18.99,AR,1633288956
Thompson,55.7435,-97.8558,64.56,45,75,8.05,CA,1633288957
Tarko-Sale,64.9225,77.785,26.37,87,45,7.07,RU,1633288957
Port Elizabeth,-33.918,25.5701,57.09,71,5,9.64,ZA,1633288891
Saskylakh,71.9167,114.0833,16.77,93,98,10.45,RU,1633288958
The Pas,53.8251,-101.2541,66.22,39,40,10.36,CA,1633288958
Chiapilla,16.5167,-92.7333,87.6,65,93,3.0,MX,1633288959
Tasiilaq,65.6145,-37.6368,39.36,55,0,5.86,GL,1633288959
Castro,-24.7911,-50.0119,63.48,98,100,1.23,BR,1633288960
Rawson,-43.3002,-65.1023,60.71,31,16,13.18,AR,1633288852
Nuuk,64.1835,-51.7216,40.95,70,14,8.37,GL,1633288835
Ransang,8.9603,117.5828,76.82,92,100,2.33,PH,1633288960
Iranshahr,27.2025,60.6848,86.34,42,0,4.61,IR,1633288961
Ixtapa,20.7,-105.2,88.23,62,20,4.61,MX,1633288962
Ambon City,-3.6954,128.1814,77.14,88,40,9.22,ID,1633288962
San Andrés,12.5847,-81.7006,87.82,74,75,10.36,CO,1633288962
Sirsāganj,27.05,78.7,85.75,60,85,4.79,IN,1633288963
Villa del Rosario,7.8339,-72.4742,89.98,52,40,12.66,CO,1633288963
Butaritari,3.0707,172.7902,82.36,65,100,17.63,KI,1633288964
San Cristobal,7.7669,-72.225,84.38,51,24,7.05,VE,1633288964
Beringovskiy,63.05,179.3167,38.55,99,100,4.23,RU,1633288965
Carnarvon,-24.8667,113.6333,62.67,77,0,12.66,AU,1633288759
Saint-Philippe,-21.3585,55.7679,72.99,82,44,14.58,RE,1633288966
Deputatsky,69.3,139.9,16.83,93,100,4.5,RU,1633288966
Tarbagatay,51.4803,107.3602,36.93,87,96,8.7,RU,1633288966
Okha,53.5739,142.9478,45.03,67,91,18.12,RU,1633288967
Kruisfontein,-34.0033,24.7314,54.88,72,94,6.13,ZA,1633288967
Ürümqi,43.801,87.6005,41.95,57,0,2.24,CN,1633288967
Talnakh,69.4865,88.3972,17.92,96,99,1.34,RU,1633288968
Nanortalik,60.1432,-45.2371,40.82,72,0,5.23,GL,1633288968
Cape Town,-33.9258,18.4232,57.09,61,20,5.75,ZA,1633288969
Parabel',58.6978,81.4825,33.12,94,100,6.2,RU,1633288969
Cayenne,4.9333,-52.3333,89.64,70,20,5.99,GF,1633288970
Albany,42.6001,-73.9662,67.14,87,100,0.25,US,1633288796
Nikolskoye,59.7035,30.7861,50.4,85,0,6.71,RU,1633288970
Iqaluit,63.7506,-68.5145,44.33,65,75,2.3,CA,1633288971
Upernavik,72.7868,-56.1549,30.74,92,100,4.88,GL,1633288971
San Jose,37.3394,-121.895,92.89,29,40,3.44,US,1633288809
Severo-Kuril'sk,50.6789,156.125,47.25,80,71,40.22,RU,1633288972
Nacozari,25.3366,-108.2574,86.54,49,99,3.67,MX,1633288972
Havre-St-Pierre,50.2334,-63.5986,55.76,58,75,4.61,CA,1633288973
Ajdabiya,30.7554,20.2263,73.42,56,0,9.17,LY,1633288974
Provideniya,64.3833,-173.3,28.51,80,75,4.47,RU,1633288974
Kidal,18.4411,1.4078,90.63,11,38,10.8,ML,1633288774
Baghdad,33.3406,44.4009,84.11,28,0,9.22,IQ,1633288928
Graaff-Reinet,-32.2522,24.5308,50.92,61,0,6.91,ZA,1633288975
Guardiagrele,42.1954,14.2198,69.8,74,23,5.84,IT,1633288976
Dover,39.1582,-75.5244,86.25,61,20,5.75,US,1633288661
Ropcha,48.1199,25.7742,52.56,56,100,10.11,UA,1633288977
San Patricio,28.017,-97.5169,92.12,54,82,8.05,US,1633288977
Kasongo-Lunda,-6.4667,16.8167,74.71,74,89,0.81,CD,1633288977
The Valley,18.217,-63.0578,89.46,70,20,17.27,AI,1633288978
Saint Paul Harbor,57.79,-152.4072,42.31,52,1,14.97,US,1633288978
Alice Springs,-23.7,133.8833,53.15,47,0,0.0,AU,1633288758
Longyearbyen,78.2186,15.6401,37.24,93,75,4.61,SJ,1633288979
Kedrovyy,56.1667,91.8167,23.41,84,96,2.48,RU,1633288979
Yeppoon,-23.1333,150.7333,73.18,93,2,3.71,AU,1633288980
Hokitika,-42.7167,170.9667,49.59,92,100,6.6,NZ,1633288980
Egvekinot,66.3167,-179.1667,25.52,97,100,3.42,RU,1633288981
Guerrero Negro,27.9769,-114.0611,85.93,39,24,3.38,MX,1633288981
Puerto Ayora,-0.7393,-90.3518,72.64,76,30,11.86,EC,1633288982
Hambantota,6.1241,81.1185,79.79,82,86,13.09,LK,1633288982
Tuktoyaktuk,69.4541,-133.0374,33.8,100,90,14.97,CA,1633288983
Turan,16.0678,108.2208,78.78,89,20,2.3,VN,1633288794
Sabha,27.0377,14.4283,80.89,28,3,9.22,LY,1633288983
Morón,-34.6534,-58.6198,62.98,36,96,12.35,AR,1633288984
Ekimchan,53.0667,132.9667,27.23,89,7,1.54,RU,1633288984
Arinos,-15.9169,-46.1056,103.32,14,45,2.86,BR,1633288985
Inta,66.0317,60.1659,31.35,86,63,7.05,RU,1633288760
Goderich,43.7501,-81.7165,71.2,88,99,3.44,CA,1633288985
Chokurdakh,70.6333,147.9167,19.99,96,96,8.68,RU,1633288986
Krasnaya Gorka,55.1962,56.6673,38.21,69,97,5.95,RU,1633288986
Atbasar,51.8,68.3333,37.38,66,99,13.35,KZ,1633288987
Parintins,-2.6283,-56.7358,90.73,51,100,1.63,BR,1633288987
Bluff,-46.6,168.3333,44.8,84,100,23.2,NZ,1633288987
Krasnosel'kup,65.7,82.4667,21.49,89,44,9.46,RU,1633288988
Tiksi,71.6872,128.8694,24.51,90,96,10.25,RU,1633288988
Faanui,-16.4833,-151.75,78.69,70,17,12.01,PF,1633288989
Pedernales,18.0384,-71.744,81.12,67,100,13.82,DO,1633288989
Henties Bay,-22.116,14.2845,54.86,89,0,4.07,NA,1633288990
Turukhansk,65.8167,87.9833,30.13,98,99,4.12,RU,1633288990
Brae,60.3964,-1.353,49.91,87,100,34.07,GB,1633288991
Catanduva,-21.1378,-48.9728,97.09,29,49,10.58,BR,1633288991
Lagoa,39.05,-27.9833,70.77,92,41,12.26,PT,1633288716
Marawi,7.9986,124.2928,66.65,98,100,2.98,PH,1633288992
Hilo,19.7297,-155.09,76.8,82,90,3.44,US,1633288992
Remanso,-9.6179,-42.0831,90.18,33,1,11.99,BR,1633288993
Kutum,14.2,24.6667,82.42,24,78,4.05,SD,1633288709
Saint George,37.1041,-113.5841,88.36,20,1,1.01,US,1633288714
Homer,59.6425,-151.5483,42.04,63,1,4.61,US,1633288994
Souillac,-20.5167,57.5167,73.36,88,75,11.5,MU,1633288994
Coyhaique,-45.5752,-72.0662,52.41,54,75,6.91,CL,1633288994
Avarua,-21.2078,-159.775,75.25,73,75,6.91,CK,1633288995
Cortes,41.9395,-1.4396,57.25,67,100,18.37,ES,1633288995
Anadyr,64.75,177.4833,36.1,93,40,13.0,RU,1633288996
Río Cuarto,-33.1307,-64.3499,65.97,24,0,12.66,AR,1633288996
Bulungu,-4.55,18.6,71.69,94,100,4.61,CD,1633288996
La Libertad,-2.2333,-80.9,74.86,69,75,9.22,EC,1633288997
Mossamedes,-15.1961,12.1522,62.37,83,67,4.09,AO,1633288997
Mareeba,-17.0,145.4333,69.44,94,33,2.98,AU,1633288998
Garissa,-0.4536,39.6401,79.43,64,96,19.28,KE,1633288998
Merrill,45.1805,-89.6835,69.75,88,90,9.22,US,1633288933
Maceió,-9.6658,-35.7353,85.44,70,40,12.66,BR,1633288999
Harper,4.375,-7.7169,78.42,88,100,7.23,LR,1633288999
Sakakah,29.9697,40.2064,83.77,26,0,12.19,SA,1633289000
Mabaruma,8.2,-59.7833,80.35,88,67,5.5,GY,1633289000
San Quintín,30.4833,-115.95,80.6,39,100,8.25,MX,1633289001
Yenagoa,4.9247,6.2642,76.53,91,100,4.99,NG,1633289001
Arraial do Cabo,-22.9661,-42.0278,84.16,69,0,18.41,BR,1633289002
Amapá,1.0,-52.0,95.09,33,100,4.47,BR,1633289002
Acarí,-15.4311,-74.6158,71.53,62,40,10.4,PE,1633289002
Matara,5.9485,80.5353,78.15,88,70,7.58,LK,1633289003
Japura,-0.3167,102.35,74.12,93,100,1.7,ID,1633289003
Mīnāb,27.1467,57.0801,85.5,67,100,5.82,IR,1633289004
Peniche,39.3558,-9.3811,63.63,79,95,13.31,PT,1633289004
Pangkalanbuun,-2.6833,111.6167,72.86,99,100,1.83,ID,1633289004
Medina,24.4686,39.6142,99.03,13,20,13.8,SA,1633288965
Bandundu Province,-3.3167,17.3667,78.4,77,100,2.19,CD,1633289005
Hualmay,-11.0964,-77.6139,67.01,71,26,12.59,PE,1633289005
Svetlaya,46.5389,138.3297,53.15,84,100,6.55,RU,1633288774
Taltal,-25.4,-70.4833,64.33,64,19,9.53,CL,1633289006
Phan Thiet,10.9333,108.1,76.62,89,100,3.02,VN,1633289006
Norman Wells,65.282,-126.8329,35.64,93,90,20.71,CA,1633289007
Geraldton,-28.7667,114.6,48.61,93,40,3.44,AU,1633289007
Thunder Bay,48.4001,-89.3168,62.29,90,90,3.44,CA,1633288734
Lendinara,45.0843,11.5997,70.61,83,99,6.26,IT,1633289008
Flinders,-34.5833,150.8552,62.8,81,96,1.01,AU,1633289008
San Vicente,-26.6167,-54.1333,66.81,91,100,2.8,AR,1633289009
Yamada,39.4667,141.95,60.87,90,7,8.77,JP,1633289009
Baie-Saint-Paul,47.4411,-70.4986,61.29,83,49,11.01,CA,1633289010
Yarmouth,41.7057,-70.2286,73.62,82,20,4.0,US,1633289010
Luanda,-8.8368,13.2343,75.2,78,20,11.5,AO,1633288829
Moerai,-22.4333,-151.3333,74.16,78,39,15.05,PF,1633288990
Saint-Augustin,51.226,-58.6502,43.2,88,100,8.23,CA,1633289011
Aklavik,68.2191,-135.0107,34.52,93,90,16.11,CA,1633288738
Clyde River,70.4692,-68.5914,39.43,87,90,0.0,CA,1633289012
Husavik,66.0449,-17.3389,44.51,99,100,17.38,IS,1633289012
Pangnirtung,66.1451,-65.7125,33.8,93,75,0.0,CA,1633289012
Ylivieska,64.0833,24.55,53.31,75,100,14.79,FI,1633289013
Lavrentiya,65.5833,-171.0,23.27,71,16,3.83,RU,1633289014
Constitución,-35.3333,-72.4167,59.11,53,0,19.62,CL,1633289014
Porbandar,21.6422,69.6093,81.48,84,15,7.05,IN,1633289015
Lorengau,-2.0226,147.2712,79.07,82,94,3.83,PG,1633289015
Ostrovnoy,68.0531,39.5131,44.51,87,21,20.83,RU,1633289016
Kitimat,54.0524,-128.6534,46.9,54,100,6.64,CA,1633288730
Khatanga,71.9667,102.5,17.01,95,99,10.42,RU,1633289016
Hithadhoo,-0.6,73.0833,83.23,75,86,16.98,MV,1633288876
Istmina,5.1605,-76.684,84.2,77,93,4.09,CO,1633289017
Caravelas,-17.7125,-39.2481,80.08,72,5,14.32,BR,1633289017
Māngrol,21.1167,70.1167,80.91,83,16,6.24,IN,1633289018
College,64.8569,-147.8028,35.58,96,75,5.75,US,1633289018
Blythe,33.6103,-114.5964,96.03,12,5,4.03,US,1633289018
Yulara,-25.2406,130.9889,53.44,40,0,8.05,AU,1633289019
Sabzawār,36.2126,57.6819,60.4,30,0,10.65,IR,1633289019
Tornio,65.8481,24.1466,53.62,80,99,20.65,FI,1633289020
Esperance,-33.8667,121.9,42.64,70,72,9.42,AU,1633289020
Bayan,46.0833,127.4,43.74,80,100,6.85,CN,1633289021
Chumphon,10.3333,98.8333,71.04,96,78,2.17,TH,1633289021
Oranjemund,-28.55,16.4333,55.47,78,0,24.83,NA,1633289022
Río Gallegos,-51.6226,-69.2181,57.25,28,40,35.68,AR,1633289022
Bengkulu,-3.8004,102.2655,75.13,91,100,3.65,ID,1633289022
Arona,28.0996,-16.681,68.83,67,20,4.0,ES,1633289023
Bethel,41.3712,-73.414,77.47,65,1,5.75,US,1633289023
Porto Nacional,-10.7081,-48.4172,93.2,23,86,2.91,BR,1633289023
Salalah,17.0151,54.0924,82.49,83,75,9.22,OM,1633289024
Rodolfo Sánchez Taboada,31.7167,-116.5667,81.1,59,100,1.99,MX,1633289024
Rūdbār,30.15,62.6,66.61,25,0,16.55,AF,1633289025
Unterseen,46.6853,7.8472,63.3,79,100,3.49,CH,1633289025
Hong Kong,22.2855,114.1577,85.32,78,86,1.01,HK,1633288835
Nhulunbuy,-12.2333,136.7667,77.61,88,90,5.75,AU,1633289026
Kantang,7.4054,99.5156,77.97,90,75,2.04,TH,1633289026
Kefamenanu,-9.4467,124.4781,68.88,80,8,2.21,ID,1633289026
Dawei,14.0833,98.2,75.99,94,77,2.06,MM,1633289027
Sisimiut,66.9395,-53.6735,37.33,72,15,3.71,GL,1633289027
Petropavlovsk-Kamchatskiy,53.0452,158.6483,50.59,62,40,8.95,RU,1633289028
Sorong,-0.8833,131.25,77.14,88,100,9.86,ID,1633289028
Tuatapere,-46.1333,167.6833,44.82,94,100,3.27,NZ,1633289029
Bunia,1.5667,30.25,63.72,92,98,2.15,CD,1633289029
Narsaq,60.9167,-46.05,44.82,57,0,6.17,GL,1633289029
Tungor,53.3808,142.9564,43.48,68,98,15.35,RU,1633289030
Dorsten,51.6667,6.9667,56.28,92,100,8.99,DE,1633289030
Nicoya,10.1483,-85.452,85.55,65,51,2.82,CR,1633289031
Riverton,40.5219,-111.9391,79.45,32,1,4.0,US,1633288765
Chardara,41.2547,67.9692,50.52,42,0,10.07,KZ,1633289031
Abonnema,4.7084,6.7931,77.61,88,98,5.41,NG,1633289032
Kokopo,-4.352,152.2633,76.32,85,83,6.58,PG,1633289032
Mariestad,58.7097,13.8237,59.5,81,100,18.86,SE,1633289032
Semenivka,52.1783,32.5818,45.14,72,11,7.11,UA,1633289033
Kijabe,-0.933,36.5758,61.5,89,100,2.46,KE,1633289033
Katobu,-4.9408,122.5276,73.56,93,13,2.48,ID,1633289034
Wanning,18.8003,110.3967,79.43,85,64,4.88,CN,1633289034
Taungdwingyi,20.0167,95.55,73.6,95,16,5.35,MM,1633289035
Jaroměř,50.3562,15.9214,62.08,68,100,7.7,CZ,1633289035
Tegul'det,57.3064,88.1667,26.69,98,84,3.56,RU,1633289036
Muzhi,65.3667,64.6667,29.55,75,23,4.97,RU,1633289036
Cidreira,-30.1811,-50.2056,67.95,84,100,8.37,BR,1633289037
Natal,-5.795,-35.2094,84.85,54,0,19.57,BR,1633288759
Kortemark,51.0233,3.0022,56.01,86,5,8.99,BE,1633289037
Khovd,48.0056,91.6419,32.63,36,1,3.56,MN,1633289038
